date,sh_SWE_mm,sh_SWE_qc,sh_SWE_auto6h_mm,sh_SWE_6hdiff,sh_SWE_auto24h_mm,sh_SWE_24hdiff,sh_SWE_L3_mm,sh_SWE_L2diff,sh_SWE_L3_qc,sh_SWE_L3_qa,sh_depth_cm,sh_depth_qc,sh_depth_auto6h_cm,sh_depth_6hdiff,sh_depth_auto12h_cm,sh_depth_12hdiff,sh_depth_auto24h_cm,sh_depth_24hdiff,sh_depth_L3_cm,sh_depth_L2diff,sh_depth_L3_qc,sh_depth_L3_qa,sh_precip_mm,sh_precip_qc,sh_precip_auto24h_mm,sh_precip_24hrdiff,sh_precip_L3_mm,sh_precip_L2diff,sh_precip_L3_qc,sh_precip_L3_qa,w10_precip_auto,sh_temp_L3_C,sh_temp_L3_qc,sh_temp_L3_qa,sh_sm2_L3_%,sh_sm2_L3_qc,sh_sm2_L3_qa,sh_sm8_L3_%,sh_sm8_L3_qc,sh_sm8_L3_qa,sh_sm20_L3_%,sh_sm20_L3_qc,sh_sm20_L3_qa,sh_st2_L3_C,sh_st2_L3_qc,sh_st2_L3_qa,sh_st8_L3_C,sh_st8_L3_qc,sh_st8_L3_qa,sh_st20_L3_C,sh_st20_L3_qc,sh_st20_L3_qa,sd_temp_obs_C,sd_precip_mm,sd_depth_cm,sd_SWE_mm
10/1/2011 0:00,0,E,,,,,0,,E,P,0,E,,,,,,,0,,E,P,0,V,,,0,,V,P,0,10.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,11,0,0,0
10/1/2011 1:00,20,V,,,,,0,0,V,P,0,V,,,,,,,0,0,V,P,0,V,,,0,0,V,P,0,10,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.9,0,0,0
10/1/2011 2:00,20,V,,,,,0,0,V,P,-3,V,,,,,,,0,0,V,P,0,V,,,0,0,V,P,1,9.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.8,0,0,0
10/1/2011 3:00,20,V,20,,,,0,0,V,P,0,V,0,,,,,,0,0,V,P,0,V,,,0,0,V,P,0,9.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.6,0,0,0
10/1/2011 4:00,20,V,20,0,,,0,0,V,P,0,V,0,0,,,,,0,0,V,P,0,V,,,0,0,V,P,1,9.5,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.5,0,0,0
10/1/2011 5:00,20,V,20,0,,,0,0,V,P,0,V,0,0,,,,,0,0,V,P,0,V,,,0,0,V,P,1,9.3,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.4,0,0,0
10/1/2011 6:00,20,V,20,0,,,0,0,V,P,0,V,0,0,0,,,,0,0,V,P,0,V,,,0,0,V,P,1,9.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.3,0,0,0
10/1/2011 7:00,18,V,19,-1,,,0,0,V,P,-3,V,0,0,0,0,,,0,0,V,P,0,V,,,0,0,V,P,1,10.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.2,0,0,0
10/1/2011 8:00,18,V,18,-1,,,0,0,V,P,-5,V,0,0,0,0,,,0,0,V,P,0,V,,,0,0,V,P,0,10.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10.1,0,0,0
10/1/2011 9:00,18,V,18,0,,,0,0,V,P,-5,V,0,0,0,0,,,0,0,V,P,-3,V,,,0,0,V,P,0,12.4,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,10,0,0,0
10/1/2011 10:00,18,V,18,0,,,0,0,V,P,-5,V,0,0,0,0,,,0,0,V,P,-5,V,,,0,0,V,P,0,13.9,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,9.8,0,0,0
10/1/2011 11:00,15,V,18,0,,,0,0,V,P,-8,V,0,0,0,0,,,0,0,V,P,-5,V,,,0,0,V,P,1,14.7,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,9.7,0,0,0
10/1/2011 12:00,18,V,18,0,20,,0,0,V,P,-5,V,0,0,0,0,0,,0,0,V,P,-5,V,-1.5,,0,0,V,P,0,15.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,9.6,0,0,0
10/1/2011 13:00,20,V,19,1,20,0,0,0,V,P,-5,V,0,0,0,0,0,0,0,0,V,P,-5,V,-1.5,0,0,0,V,P,1,15.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,9.5,0,0,0
10/1/2011 14:00,20,V,20,1,20,0,0,0,V,P,-8,V,0,0,0,0,0,0,0,0,V,P,-5,V,-1.5,0,0,0,V,P,1,15.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,9.4,0,0,0
10/1/2011 15:00,23,V,21.5,1.5,20,0,0,0,V,P,-5,V,0,0,0,0,0,0,0,0,V,P,-3,V,-1.5,0,0,0,V,P,1,14.6,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,9.2,0,0,0
10/1/2011 16:00,23,V,23,1.5,20,0,0,0,V,P,-8,V,0,0,0,0,0,0,0,0,V,P,-5,V,-1.5,0,0,0,V,P,1,13.9,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A,9.1,0,0,0
