,date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_depth_mm,sh_depth_qc,sh_depth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_%,sh_sm2_qc,sh_sm2_C_qa,sh_sm8_%,sh_sm8_qc,sh_sm8_C_qa,sh_sm20_%,sh_sm20_qc,sh_sm20_C_qa,sh_st2_C,sh_st2_qc,sh_st8_C_qa,sh_st8_C,sh_st8_qc,sh_st2_C_qa,sh_st20_C,sh_st20_qc,sh_st20_qa
0,2014-10-01 00:00:00,0.0,E,P,0.0,E,P,0.0,V,P,5.689500468724063,E,F,0.0,V,A,1.9,V,A,4.7,V,A,13.1,V,A,12.5,V,A,12.5,V,A
1,2014-10-01 01:00:00,0.0,E,P,0.0,E,P,0.0,V,P,4.694739227896932,E,F,0.0,V,A,2.6,V,A,4.9,V,A,12.9,V,A,12.6,V,A,12.5,V,A
2,2014-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,V,P,4.694739227896932,E,F,0.0,V,A,2.9,V,A,5.0,V,A,12.6,V,A,12.6,V,A,12.5,V,A
3,2014-10-01 03:00:00,0.0,E,P,0.0,E,P,0.0,E,P,4.143049556038179,E,F,0.0,V,A,2.1,V,A,5.1,V,A,12.3,V,A,12.6,V,A,12.5,V,A
4,2014-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,V,P,3.592155410341306,E,F,0.0,V,A,2.2,V,A,4.8,V,A,12.1,V,A,12.6,V,A,12.5,V,A
5,2014-10-01 05:00:00,0.0,E,P,0.0,E,P,0.0,V,P,3.152072026925552,E,F,0.0,V,A,2.2,V,A,4.8,V,A,11.8,V,A,12.6,V,A,12.6,V,A
6,2014-10-01 06:00:00,0.0,E,P,0.0,E,P,0.0,V,P,3.152072026925552,E,F,0.0,V,A,2.4,V,A,4.6,V,A,11.6,V,A,12.6,V,A,12.6,V,A
7,2014-10-01 07:00:00,0.0,E,P,0.0,E,P,0.0,V,P,3.152072026925552,E,F,0.0,V,A,2.1,V,A,4.4,V,A,11.4,V,A,12.5,V,A,12.5,V,A
8,2014-10-01 08:00:00,0.0,V,P,0.0,E,P,0.0,E,P,4.915617924695411,E,F,0.0,V,A,2.3,V,A,4.5,V,A,11.1,V,A,12.5,V,A,12.6,V,A
9,2014-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,V,P,6.686023922033982,E,F,0.0,V,A,2.4,V,A,5.1,V,A,10.9,V,A,12.4,V,A,12.6,V,A
10,2014-10-01 10:00:00,0.0,V,P,0.0,E,P,0.0,E,P,8.793187649484466,E,F,0.0,V,A,1.7,V,A,4.2,V,A,10.7,V,A,12.4,V,A,12.6,V,A
11,2014-10-01 11:00:00,0.0,V,P,0.0,E,P,0.0,E,P,10.679102379879609,E,F,0.0,V,A,2.4,V,A,4.7,V,A,10.7,V,A,12.3,V,A,12.6,V,A
12,2014-10-01 12:00:00,0.0,V,P,0.0,E,P,0.0,E,P,12.230021335792046,E,F,0.0,V,A,1.6,V,A,4.2,V,A,10.9,V,A,12.2,V,A,12.6,V,A
13,2014-10-01 13:00:00,0.0,V,P,0.0,E,P,0.0,E,P,13.99751441797234,E,F,0.0,V,A,2.0,V,A,4.4,V,A,11.1,V,A,12.2,V,A,12.6,V,A
14,2014-10-01 14:00:00,0.0,E,P,0.0,E,P,0.0,E,P,14.658441508280745,E,F,0.0,V,A,1.7,V,A,4.5,V,A,11.7,V,A,12.1,V,A,12.6,V,A
15,2014-10-01 15:00:00,0.0,E,P,0.0,E,P,0.0,E,P,14.438263068517344,E,F,0.0,V,A,1.9,V,A,4.4,V,A,12.3,V,A,12.1,V,A,12.6,V,A
16,2014-10-01 16:00:00,0.0,E,P,0.0,V,P,0.0,E,P,14.328123976227332,E,F,0.0,V,A,1.9,V,A,4.5,V,A,13.0,V,A,12.1,V,A,12.6,V,A
17,2014-10-01 17:00:00,0.0,E,P,0.0,V,P,0.0,E,P,13.0040990329653,E,F,0.0,V,A,2.2,V,A,4.6,V,A,13.6,V,A,12.1,V,A,12.6,V,A
18,2014-10-01 18:00:00,0.0,E,P,0.0,E,P,0.0,E,P,9.569896199256263,E,F,0.0,V,A,2.1,V,A,4.6,V,A,13.9,V,A,12.2,V,A,12.6,V,A
19,2014-10-01 19:00:00,0.0,E,P,0.0,E,P,0.0,E,P,7.905614350568484,E,F,0.0,V,A,1.4,V,A,4.2,V,A,14.0,V,A,12.3,V,A,12.6,V,A
20,2014-10-01 20:00:00,0.0,E,P,0.0,E,P,0.0,E,P,6.242941008853492,E,F,0.0,V,A,1.5,V,A,3.9,V,A,14.0,V,A,12.5,V,A,12.6,V,A
21,2014-10-01 21:00:00,0.0,E,P,0.0,E,P,0.0,E,P,4.694739227896932,E,F,0.0,V,A,1.3,V,A,4.2,V,A,13.8,V,A,12.6,V,A,12.6,V,A
22,2014-10-01 22:00:00,0.0,E,P,0.0,E,P,0.0,V,P,4.363634926993754,E,F,0.0,V,A,1.3,V,A,4.6,V,A,13.6,V,A,12.7,V,A,12.6,V,A
23,2014-10-01 23:00:00,0.0,E,P,0.0,E,P,0.0,V,P,4.143049556038179,E,F,0.0,V,A,1.2,V,A,4.4,V,A,13.3,V,A,12.7,V,A,12.6,V,A
24,2014-10-02 00:00:00,0.0,E,P,0.0,E,P,0.0,V,P,3.3720402451750005,E,F,0.0,V,A,2.2,V,A,4.2,V,A,13.1,V,A,12.8,V,A,12.6,V,A
