,date,sh_SWE_manual_mm,sh_SWE_manual_qcflag,sh_SWE_manual_qaflag,sh_depth_manual_cm,sh_depth_manual_qcflag,sh_depth_manual_qaflag,sh_precip_manual_mm,sh_precip_manual_qcflag,sh_precip_manual_qaflag,w10_precip_manual_mm,w10_precip_manual_qcflag,w10_precip_manual_qaflag,sh_tempcorrected_C,sh_temp_qcflag,sh_temp_qaflag,sh_sm2_%,sh_sm2_qc,sh_sm8_%,sh_sm8_qc,sh_sm20_%,sh_sm20_qc,sh_sm2_C_qaflag,sh_sm8_C_qaflag,sh_sm20_C_qaflag,sh_st2_C,sh_st2_qc,sh_st8_C,sh_st2_qc.1,sh_st20_C,sh_st20_qc,sh_st2_C_qaflag,sh_st8_C_qaflag,sh_st20_C_qaflag
0,2014-10-01 00:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,5.8,E,F,0.0,V,1.9,V,4.7,V,A,A,A,13.1,V,12.5,V,12.5,V,A,A,A
1,2014-10-01 01:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,4.8,E,F,0.0,V,2.6,V,4.9,V,A,A,A,12.9,V,12.6,V,12.5,V,A,A,A
2,2014-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,4.8,E,F,0.0,V,2.9,V,5.0,V,A,A,A,12.6,V,12.6,V,12.5,V,A,A,A
3,2014-10-01 03:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,4.3,E,F,0.0,V,2.1,V,5.1,V,A,A,A,12.3,V,12.6,V,12.5,V,A,A,A
4,2014-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,3.7,E,F,0.0,V,2.2,V,4.8,V,A,A,A,12.1,V,12.6,V,12.5,V,A,A,A
5,2014-10-01 05:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,3.3,E,F,0.0,V,2.2,V,4.8,V,A,A,A,11.8,V,12.6,V,12.6,V,A,A,A
6,2014-10-01 06:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,3.3,E,F,0.0,V,2.4,V,4.6,V,A,A,A,11.6,V,12.6,V,12.6,V,A,A,A
7,2014-10-01 07:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,3.3,E,F,0.0,V,2.1,V,4.4,V,A,A,A,11.4,V,12.5,V,12.5,V,A,A,A
8,2014-10-01 08:00:00,0.0,V,P,0.0,E,P,0.0,E,P,0,E,P,5.0,E,F,0.0,V,2.3,V,4.5,V,A,A,A,11.1,V,12.5,V,12.6,V,A,A,A
9,2014-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,6.8,E,F,0.0,V,2.4,V,5.1,V,A,A,A,10.9,V,12.4,V,12.6,V,A,A,A
10,2014-10-01 10:00:00,0.0,V,P,0.0,E,P,0.0,E,P,0,E,P,8.9,E,F,0.0,V,1.7,V,4.2,V,A,A,A,10.7,V,12.4,V,12.6,V,A,A,A
11,2014-10-01 11:00:00,0.0,V,P,0.0,E,P,0.0,E,P,0,E,P,10.7,E,F,0.0,V,2.4,V,4.7,V,A,A,A,10.7,V,12.3,V,12.6,V,A,A,A
12,2014-10-01 12:00:00,0.0,V,P,0.0,E,P,0.0,E,P,0,E,P,12.3,E,F,0.0,V,1.6,V,4.2,V,A,A,A,10.9,V,12.2,V,12.6,V,A,A,A
13,2014-10-01 13:00:00,0.0,V,P,0.0,E,P,0.0,E,P,0,E,P,14.0,E,F,0.0,V,2.0,V,4.4,V,A,A,A,11.1,V,12.2,V,12.6,V,A,A,A
14,2014-10-01 14:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,14.7,E,F,0.0,V,1.7,V,4.5,V,A,A,A,11.7,V,12.1,V,12.6,V,A,A,A
15,2014-10-01 15:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,14.5,E,F,0.0,V,1.9,V,4.4,V,A,A,A,12.3,V,12.1,V,12.6,V,A,A,A
16,2014-10-01 16:00:00,0.0,E,P,0.0,V,P,0.0,E,P,0,E,P,14.3,E,F,0.0,V,1.9,V,4.5,V,A,A,A,13.0,V,12.1,V,12.6,V,A,A,A
17,2014-10-01 17:00:00,0.0,E,P,0.0,V,P,0.0,E,P,0,E,P,13.0,E,F,0.0,V,2.2,V,4.6,V,A,A,A,13.6,V,12.1,V,12.6,V,A,A,A
18,2014-10-01 18:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,9.6,E,F,0.0,V,2.1,V,4.6,V,A,A,A,13.9,V,12.2,V,12.6,V,A,A,A
19,2014-10-01 19:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,8.0,E,F,0.0,V,1.4,V,4.2,V,A,A,A,14.0,V,12.3,V,12.6,V,A,A,A
20,2014-10-01 20:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,6.3,E,F,0.0,V,1.5,V,3.9,V,A,A,A,14.0,V,12.5,V,12.6,V,A,A,A
21,2014-10-01 21:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,4.8,E,F,0.0,V,1.3,V,4.2,V,A,A,A,13.8,V,12.6,V,12.6,V,A,A,A
22,2014-10-01 22:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,4.5,E,F,0.0,V,1.3,V,4.6,V,A,A,A,13.6,V,12.7,V,12.6,V,A,A,A
23,2014-10-01 23:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,4.3,E,F,0.0,V,1.2,V,4.4,V,A,A,A,13.3,V,12.7,V,12.6,V,A,A,A
24,2014-10-02 00:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,3.5,E,F,0.0,V,2.2,V,4.2,V,A,A,A,13.1,V,12.8,V,12.6,V,A,A,A
25,2014-10-02 01:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,3.1,E,F,0.0,V,1.6,V,4.7,V,A,A,A,12.8,V,12.8,V,12.6,V,A,A,A
26,2014-10-02 02:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,2.4,E,F,0.0,V,1.7,V,4.0,V,A,A,A,12.5,V,12.9,V,12.6,V,A,A,A
27,2014-10-02 03:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,1.7,E,F,0.0,V,2.1,V,4.0,V,A,A,A,12.2,V,12.9,V,12.6,V,A,A,A
28,2014-10-02 04:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,1.4,E,F,0.0,V,1.0,V,4.1,V,A,A,A,12.0,V,12.8,V,12.6,V,A,A,A
29,2014-10-02 05:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,1.3,E,F,0.0,V,1.1,V,4.3,V,A,A,A,11.7,V,12.8,V,12.7,V,A,A,A
30,2014-10-02 06:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,1.7,E,F,0.0,V,1.4,V,4.0,V,A,A,A,11.5,V,12.7,V,12.7,V,A,A,A
31,2014-10-02 07:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,1.7,E,F,0.0,V,1.3,V,4.4,V,A,A,A,11.3,V,12.7,V,12.7,V,A,A,A
32,2014-10-02 08:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,4.4,E,F,0.0,V,1.9,V,4.4,V,A,A,A,11.0,V,12.6,V,12.7,V,A,A,A
33,2014-10-02 09:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,10.2,E,F,0.0,V,0.8,V,4.1,V,A,A,A,10.8,V,12.6,V,12.7,V,A,A,A
34,2014-10-02 10:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,16.2,E,F,0.0,V,1.8,V,4.2,V,A,A,A,10.7,V,12.5,V,12.7,V,A,A,A
35,2014-10-02 11:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,18.6,E,F,0.0,V,1.6,V,4.3,V,A,A,A,10.7,V,12.4,V,12.7,V,A,A,A
36,2014-10-02 12:00:00,0.0,V,P,0.0,E,P,0.0,E,P,0,E,P,20.6,E,F,0.0,V,1.4,V,4.2,V,A,A,A,11.0,V,12.3,V,12.7,V,A,A,A
